No.,Texto
559,"Si María Fernanda la bancada que se deja seducir del fascismo latinoamericano. A ella tu le dijiste que soy amigo de Pablo Escobar y que soy un terrorista. Ese es el efecto de la calumnia y de la insidia. Se van porque mi palabra clama por la libertad, la paz y la democracia."
560,"Siempre se olvidaran de los 80 asesinados que dejó la represión de Duque sobre el movimiento juvenil barrial, silenciarán a los jóvenes que perdieron sus ojos, a los miles que fueron apresados solo por expresarse. Silenciarán los grandes crímenes contra la humanidad porque las víctimas son los pobres"
561,"Terroristas son los que ordenaron el asesinato de 80 jóvenes solo porque pedían a su gobierno, María Fernanda, que tenían derecho a existir con dignidad."
562,Continúa la interdicción: una tonelada de cocaína fue incautada por nuestra Armada Nacional en el marco de las operaciones de control marítimo en el Pacífico.
563,En Tibú la policía incauta cuatro toneladas y media de cocaína. La interdicción avanza.
564,"La Armada de Colombia incautó 18 millones de dĺlares en 5,5 toneladas de cocaína en el Caribe. Uno de los mayores golpes históricos al narcotráfico"
565,Me gustaría que hubiera un mejor salario o bonificación al patrullero(a) de base de la policía o al o la soldado que me encuentro en las trochas. Los funcionarios y sindicatos que hoy negocian el salario público en estos dos años deberían contemplar esta posibilidad.
566,Incautación de más de 5 toneladas de cocaína entre la Armada de Colombia con los EEUU y la República de Panamá en el Caribe. Este es el poder de la interdicción que va al corazón de los grandes empresarios de la mafia.
567,"Va un promedio de 1,6 toneladas de cocaína incautadas por dia, hay que llegar a dos toneladas por dia en el próximo trimestre. La interdicción aún puede ser más eficaz. Entre mas interdicción haya más se debilitarán las organizaciones del crimen."
568,Me parece supremamente grave esta denuncia. Le pediré al ministro de justicia que cite al Consejo Nacional de política Criminal para discutir este tema. https://www.lanuevaprensa.com.co/component/k2/el-fiscal-daniel-hernandez-no-impidio-y-encubre-mas-de-200-homicidios-del-clan-del-golfo-en-la-costa-norte-revelan-autoridades-y-documentos
569,Uno de los más grandes laboratorios de cocaína ha sido encontrado y destruido por el gobierno
570,"Carlos Pizarro el hombre de la guerra y el hombre de la Paz. En la guerra sobrevivió, en la Paz lo asesinaron quienes no querían ningún cambio en Colombia. La paz será definitiva en Colombia cuando el peligro de morir esté en la guerra y no en la Paz."
571,¿Por qué esta intención de dañar la imagen del ministro de defensa? ¿Porque es el gran investigador contra la para política? ¿Porque develó la corrupción gubernamental en Guatemala? ¿Porque ha incautado la mayor cantidad de droga en al historia del país? https://www.noticiasuno.com/politica/contrato-para-comprar-vehiculos-bindados-en-mindefensa-fue-aprobado-por-gobierno-duque/
572,Cae dos toneladas y media de cocaína en Buenaventura. La estrategia de interdicción mejora. La destrucción de las economías ilícitas es el camino e la paz total
573,Funciona la colaboración colombo/venezolana en la lucha contra el narcotráfico. https://fusernews.com/detienen-en-venezuela-a-capo-de-la-droga-colombiano/
574,"Agradezco al presidente @POTUS su invitación. Es un momento clave para reforzar la relación y cooperación mutua entre ambos países, no solo en la lucha contra el narcotráfico sino en la protección de la Amazonia, el cambio climático y el desarrollo rural."
575,Otra tonelada de cocaína cae en cajas de bananos. https://noticias.caracoltv.com/valle/policia-incauta-mas-de-una-tonelada-de-cocaina-camuflada-en-carga-de-bananos-que-iba-para-alemania-rg10
576,Se destruyen 6 laboratorios de cocaína en el norte de Antioquia https://www.bluradio.com/blu360/antioquia/ejercito-destruyo-6-laboratorios-de-coca-pertenecientes-al-eln-y-el-clan-del-golfo-en-valdivia-rg10
577,El asesinato de firmantes de la paz ha caído a casi la tercera parte.
578,"Dicho y hecho, lo que llaman mi ataque, es la demanda de la Corte Interamericana de Derechos contra el régimen de El Salvador, y lo hacen así, como ataque de mi presidencia porque desearían que esa violación sistemática de derechos, como los falsos positivos, fuera en Colombia"
579,"Pues amigo Espinoza, evidentemente ustedes no son el New York Times que coincide conmigo a exepción de ustedes, en condenar una evidente violación profunda de Derechos Humanos en nuestro continente: la que ocurre en El Salvador."
580,"Aquí la prensa siempre que digo esto mismo que hoy dice el New York Times, titula ""Petro arremete"" cuando quien ha arremetido contra los Derechos Humanos es otro, que aquí mitifican porque esperan que eso se haga en Colombia."
581,"Tres laboratorios en Unguía, Chocó y el Urabá antioqueño fueron destruidos y capturado uno de los cabecillas del clan del golfo. https://larazon.co/judicial/ejercito-desmantela-tres-laboratorios-de-droga-en-el-uraba-y-capturan-a-un-presunto-cabecilla-del-clan-del-golfo/"
582,Se interdicta 0.4 toneladas de cocaína en mar abierto
583,Inacautadas 3.2 toneladas de cocaína en el Cauca. Prácticamente en este trimestre se ha triplicado la incautación de insumos para cocaina comparado con el mismo trimestre del año pasado.
584,"Las niñas y niños deben estar completamente al margen de esta guerra. Rechazamos cualquier actuación de los actores armados que involucre a menores de edad. La juventud debe ser protegida, jamás reclutada, fotografiada, ni bombardeada."
585,Según los datos de la fiscalía en este trimestre comparado con el del año pasado tenemos una reducción del homicidio del 7% en todo el país.
586,"El gobierno que usted apoyó Maria Fernanda, duplicó el área controlada por el ELN y el clan del Golfo y creó las disidencias. Ahora nosotros corregimos el rumbo. Ustedes llevaban el país a la violencia, nosotros queremos llevarlo a la paz sin ingenuidades."
587,Este es un buen reportaje que nos muestra la dificultad de un camino pacífico con organizaciones basadas en economías ilegales y que ya no buscan la toma del poder. ¿Es posible un camino pacífico de desmantelamiento de la economía ilegal? https://voragine.co/tension-y-zozobra-en-la-cuna-del-clan-del-golfo/
588,En el consejo de seguridad en Buenaventura. Análisis de confinamientos en su área rural.
589,El objetivo es la captura de los grandes empresarios del narcotráfico y el lavado de dólares para acabar con su financiación a la guerra.
590,34 narcotraficantes con fines de extradición han sido capturados en los dos últimos meses. https://www.latimes.com/espanol/internacional/articulo/2023-03-30/colombia-captura-a-mas-de-30-extraditables-por-narcotrafico
591,Lo que hacen con la dirigencia del movimiento juvenil popular al criminalizar la protesta es atroz y digno de dictaduras. https://cambiocolombia.com/pais/colombia-utiliza-indebidamente-leyes-antiterrorismo-contra-manifestantes-expertos-de-la-onu
592,"He convocado a consulta a la delegación del gobierno en la mesa del ELN, países garantes y acompañantes. Un proceso de Paz debe ser serio y responsable con la sociedad colombiana."
593,"Esta es una verdadera calumnia. Nadie en Colombia ha propuesto legalizar la Cocaína. El fiscal confunde campesinos cultivadores de hoja de coca con narcotraficantes, por eso las cárceles se llenan de campesinos y los narcotraficantes se pasean en helicópteros."
594,"Otra tonelada y media de cocaína que cae cerca de El Salvador, gracias a la inteligencia y ayuda de la Armada Colombiana."
595,Cae Tonelada y media de cocaína en Nariño.
596,"La implementación del Acuerdo de Paz y la seguridad de los firmantes es una prioridad para nuestro gobierno. El primer compromiso del gabinete es el cumplimiento de lo pactado, este es el gobierno de la paz."
597,"Tratando de producir fentanilo, lo peor de lo peor, esta banda del cartel de Sinaloa es capturada en Colombia en operación conjunta con Grecia y Guatemala."
598,"Del 24 al 26 se realizará la gran Asamblea Nacional Popular y Comunal de Colombia en Bogotá. La organización y la movilización popular son básicas para avanzar en la democracia, la Paz y la Justicia Social."
599,La estrategia no es solo militar o policial. El Estado no se asienta en un territorio solo con fusiles. La estrategia es político/militar. Es con democracia y Justicia social como se garantiza la alianza Estado/Pueblo. Esta es la verdadera base de la Paz.
600,"Esta noticia tiene una importancia fundamental. Si los narcos no compran cosechas de coca es porque algo está pasando en el consumo en los EEUU, y porque mejora la politica de interdicción en Colombia."
601,Interdicción sobre casi una tonelada de cocaína cerca a Tumaco
602,"En el consejo de seguridad en Caucasia, Antioquia."
603,El ataque con fusil a la fuerza disponible de la policía por parte del clan del golfo rompe el cese al fuego. A partir de este momento no hay cese al fuego con el clan del golfo. La fuerza pública debe actuar de inmediato contra las estructuras de la organización mafiosa.
604,He ordenado a la Fuerza Pública reactivar todas las operaciones militares contra el Clan del Golfo. Se suspende el cese bilateral con este grupo al margen de la ley. No permitiremos que sigan sembrando zozobra y terror en las comunidades.
605,5.000 mujeres saldrán de la cárcel 5 días a la semana para cuidar sus hijos. Recibirán una renta ciudadana del estado para ese fin. Creo que así se construye una mejor sociedad.
606,"Entre la Fuerza Aérea y la Armada se intercepta otras 0,7 toneladas de cocaína, esta vez en el Pacífico."
607,"Nuevo decomiso de cocaína en el golfo de Urabá: 1,6 toneladas en las operaciones de interdicción."
608,"Titular 13.000 hectáreas de la reserva indígena Chamí, desarrollar la asistencia técnica en turismo, iniciar jóvenes en Paz en los barrios populares en Pereira y Dosquebradas."
609,"Hoy se estaba construyendo otro relato periodístico peligroso. Que se presentaba una desbandada en el ejército El objetivo darle alas a la extrema derecha que busca un golpe Como demuestra esta información de la W, es una mentira. No hay desbandada. https://www.wradio.com.co/2023/03/17/no-hay-desbandada-en-el-ejercito-estas-son-las-cifras-comparativas-con-otros-anos/"
610,"La pregunta es si querenos desmantelar pacíficamente las bandas ilegales o cerramos esa puerta. Yo creo que la sociedad colombiana se merece la construcción de un camino pacífico. En el mundo de la guerra solo se ha empoderado el narcotráfico

Cuanto más duras han sido las medidas y más campesinos se han encarcelado por sembrar hoja de Coca más fuerte se ha abrazado el dueño del narcotráfico con el dueño del poder político. Por ello una ley que busca verdad a cambio de beneficios jurídicos no les gusta a algunos

A semejanza de los tratos judiciales en los EEUU, la ley que proponemos buca el completo desmantelamiento del narcotráfico, la extorsión, la minería ilegal, la reparación de las víctimas y la verdad a cambio de beneficios jurídicos y sometimiento colectivo a la justicia"
611,"Agradezco a la Fuerza Pública todo su esfuerzo y buen trabajo en el Bajo Cauca. Hoy hay completa normalidad en la movilidad, no hay territorios confinados y estamos entregando las ayudas humanitarias."
612,"La armada esta cumpliendo un papel fundamental en la incautación a través de operaciones de interdicción, de cocaína. Le solicité a la fiscalía ser la entidad que dé las cifras oficiales para evaluar las acciones. Esta vez cayeron 2,6 toneladas en un submarino."
613,"Con el inicio de conversaciones con el Estado Mayor Central, prácticamente la mitad de las personas hoy en armas entran en negociación con el gobierno."
614,Comienza un segundo proceso de Paz. Se establecerá una mesa entre el gobierno y el Estado Mayor Central.
615,Todos los grupos armados que hoy crean violencia fueron establecidos despues del proceso de paz de Santos y en el gobierno de Duque. Ningún grupo se ha creado en mi gobierno. Buscamos que cesen su accionar.
616,"Presido el consejo de seguridad en Montelíbano, Córdoba, evaluamos lo hecho por liberar al pueblo minero y organizamos las acciones a tomar."
617,"Una fuerza pública digna, constitucional y democrática."
618,Estas estructuras son tambien hijas de un fracaso: el del proceso de paz con los paramilitares. El estado no sido capaz de ejercer soberanía en las zonas donde organizaciones armadas deciden dejar las armas. El Estado no solo son armas sino democracia y justicia social
619,"El clan del golfo es heredero de las estructuras paramilitares del Urabá, por ello fue creado por el mismo estado, pero cobró autonomía con el nar otráfico y la mineria ilegal. Actúa sobornando funcionarios y con el terror sobre la población"
620,"Lamentablemente las condiciones de pobreza hacen que una parte de la juventud pobre esté dispuesta a venderse, a veces para dar un voto y elegir el mafioso en el congreso que los va a robar, a veces para hacer un paro que genera autodestrucción, a veces para matar."
621,Estos jóvenes no han recibido estudio y por ello ni saben que se convertieron en violadores de derechos humanos. No les importa. Recibieron dineros del clan del golfo para hacer daño y hacer pasar esa violencia como un paro social. Dañan a su propio pueblo y a su familia
622,"Si el clan del golfo esta detrás de los bloqueos, entonces no quiere la paz como dijo. La paz implica el desmantelaniento de las economías ilegales."
623,Dos toneladas más de cocaína incautadas en Santa Marta. La interdicción avanza.
624,"Territorio que se libere, territorio donde se queda el Estado para que la ciudadanía sea libre."
625,Llevamos 69 obras terminadas para la Paz total en las regiones excluidas de Colombia.
626,Este es el acuerdo al que se ha llegado con el ELN
627,"Estimado presidente Nayib todo bien en mi casa. Aquí existe la presunción de inocencia, principio universal. Aquí el presidente no destituye ni jueces, ni magistrados; lucha por una justicia más autonoma y fuerte. Aquí en Colombia profundizamos la democracia no la destruimos."
628,Invito a Colombia a ir por la paz. La Paz es posible. Una Colombia potenvia mundial de la Vida es una Colombia en Paz.
629,Mejor que hacer pactos del gobierno por debajo de la mesa es que la justicia pueda hacerlos encima de la mesa sin engaños y en búsqueda de la Paz.
630,Las cifras de disminución de la violencia sobre los efectos del cese al fuego son altamente positivas.
631,"Para alcanzar la Paz el poder público debe ser del pueblo, no de las mafias"
632,"El narcotráfico a partir de construir con dinero sus propias nóminas ha penetrado a la UNP, a la SAE, a la Fiscalía, a la fuerza pública, a la DIAN, a Aduanas. Se extiende por todas las ramas del poder público. Nuestra decisión es separar el poder público de las mafias."
633,"La orden dada al ejército de no intervenir en los hechos de San Vicente la di yo como comadante de las Fuerzas militares. Una intervención militar ante una manifestación de 7.000 campesinos solo puede generar una masacre. Que hagan eso las dictaduras, pero una democracia jamás."
634,Simple: no hay negociaciones con narcotraficantes. Los grupos armados sin origen politico negociarán con la fiscalía
635,Nuevo decomiso de una y media toneladas de cocaína en Cartagena. Avanza la Interdicción. https://www.elheraldo.co/bolivar/incautan-15-toneladas-de-clorhidrato-de-cocaina-en-cartagena-983551
636,"Este gobierno respeta el DIH, otra políticas de seguridad basadas en la sangre del pasado no son las nuestras. Nosotros dialogamos con la sociedad para proteger la vida Desde las oficinas de Bogotá es fácil ordenar la muerte. Nuestros ministros y militares actuaron correctamente"
637,En este video observan ustedes el cambio. Un oficial del ejército explica que estamos al lado de los pequeños mineros y en contra de la gran minería ilegal. La paz implica una fuerte alianza entre el ejercito y las comunidades más débiles.
638,Muy bien. Avanza la interdicción.
639,"Estos son los resultados de una política de acercamiento a los grupos Armados Organizados, en sus dos modalidades: el dialogo político y el acogimiento a la Justicia. Para quienes piensan que narcotraficantes negociarán con el gobierno, la respuesta es no.

El proyecto de ley de acogimiento a la justicia presentado por el gobierno establece que las negociaciones juridicas entre bandas y la justicia la hará el poder judicial a través de las figuras que ya son ley y del acogimiento colectivo a la justicia"
640,Las dragas de la mineria ilegal no son de pequeños mineros. Esa poderosa economía ilegal financia agrupaciones armadas que si quieren la paz deben saber que es sin economías ilegales Lq pequeña mineria sera protegida por el gobierno y para ello modificaremos el código minero
641,"Gracias a las gestiones del ministro de defensa y del interior han sido liberados todos los miembros de la policía y los funcionarios de la petrolera retenidos en San Vicente del Caguán, Caqueta."
642,"El Ministro de Defensa @Ivan_Velasquez_ estará en San Vicente del Caguán, desde allá liderará el PMU. Insisto, la liberación unilateral de los policías y la protección de su integridad es primordial para el gobierno."
643,"Tenemos un movimiento popular que por su exclusión y por el influjo de grupos que quieren destruir este gobierno y sumir a Colombia en la guerra, ha terminado asesinando un joven policía campesino, y propiciado la destrucción del primer gobierno progresista de este siglo

Las extremas se juntan en la práctica. La fiscalía, como es su deber, debe investigar e individualizar a los criminales que provocaron las muertes en el Caquetá. Espero del campesinado nacional su colaboración para liberar los funcionarios de mi gobierno retenidos.

Le solicito a la Cruz Roja su presencia para atender humanitariamente las personas retenidas. Espero de las personas retenedoras la liberación unilateral de los funcionarios del gobierno antes de que se propicie una nueva escalda de violencia.

Es la Paz el objetivo del Pueblo, no destruyan su posibilidad."
644,"En este momento está saliendo una comisión del Ministerio de Defensa, Ministerio del Interior y las Fuerzas Militares para atender la situación de Pozos en San Vicente del Caguán. He ordenado detener los hechos de violencia."
645,"Para tu conocimiento te envío esta información. Me parece que la experiencia bogotana, que se debe en primer lugar al alcalde Mockus, bien merece la pena ser estudiada internacionalmente @nayibbukele"
646,Pues Nayib @nayibbuke pasamos de 90 homicidios por cada 100.000 habitantes en 1993 en Bogotá a 13 homicidios por cada 100.000 habitantes en 2022. No hicimos carceles sino universidades. Es bueno comparar las experiencias. Te propongo un foro internacional.
647,"La orden dada desde hace meses a la fuerza pública es aumentar sustancialmente las operaciones de interdicción de drogas, destrucción de dragas de minería ilegal e interdicción del contrabando en puertos y alta mar. Sobre estos resultados se evaluaran los mandos."
648,"Me reuno con 18 congresistas de los EEUU en Cartagena, dialogamos sobre la paz en Colombia y la política antidrogas."
649,Coincide el editorial de New York Times con mi propuesta sobre las drogas. La criminización de las drogas ha fracasado. Hay que reducir el consumo a traves de fuertes campañas de salud pública para prevención del consumo. https://www.nytimes.com/2023/02/22/opinion/harm-reduction-public-health.html?smid=nytcore-ios-share&referringSource=articleShare
650,"El que la negociación de paz con el ELN giré alrededor de aspectos políticos y sociales que tienen que ver con la Democracia, el territorio excluido y el poder de la ciudadanía demuestra que estamos ante una organización política armada. https://www.elespectador.com/colombia-20/paz-y-memoria/dialogos-de-paz-eln-y-gobierno-petro-que-implica-que-la-sociedad-civil-vaya-a-participar/?utm_source=interno&utm_medium=boton&utm_campaign=share_notas&utm_content=boton_twitter_share_notas"
651,"Estas son las ciudades más violentas del mundo,(2022). Colombia ha avanzado mucho en la reducción del homicidio y aún se puede hacer más."
652,Condeno el secuestro del sargento Libey Danilo Bravo del Ejército Nacional. Estos son hechos que sabotean cualquier posibilidad de paz. Estos hechos de violencia contra la Fuerza Pública y los que día a día padecen las comunidades no pueden tener cabida en nuestra sociedad.
653,"Van 600.000 millones adicionales para programas sociales para los soldados y los patrulleros de nuestras fuerzas militares y nuestra policía en este 2023.

adicionamos 700.000 millones de pesos para programas sociales de los soldados y patrulleros de la fuerza pública."
654,Con los oficiales de todas las armas de la Fuerza Pública. Dicto conferencia en la Universidad Militar sobre la estrategia de seguridad en el nuevo contexto mundial.
655,Muy simbólica nuestra oposición. ¿Qué daño les hace el arte y la paz?
656,¿Qué tendrán contra la Paz?
657,Hoy los espero a las 4 pm en la plaza de armas y la plaza de Bolivar y en todas las plazas públicas del país. Quien ganó fué el pueblo y el pueblo quiere el cambio de Colombia Vamos por los cambios hacia un país democrático y en Paz. Favor un RT a este mensaje.
658,"En Yarumal, Antioquia. Dialogamos con la comunidad y el mando militar, las circunstancias de seguridad de la región"
659,Policía antinarcóticos incauta una tonelada de cocaína en el puerto de Cartagena. https://m.eluniversal.com.co/sucesos/en-puerto-de-cartagena-incautan-mil-kilos-de-cocaina-que-iban-a-europa-II7864921
660,Con la delegación del gobierno y la sociedad en la negociación con el ELN.
661,"Hacía muchas décadas no llegaba al Congreso una reforma a la justicia colombiana, liberal, progresista, garantista de los derechos humanos. Una reforma a la justicia para la Paz. Prometí en campaña un poder judicial más poderoso, autónomo y mejor financiado."
662,Canadá hace este esfuerzo de descriminalización del consumo de drogas para disminuir el consumo por la vía de la prevención y la educación. Veremos sus resultados que puede ser el mejor para destruir el narcotráfico y reducir los consumos dañinos. https://elpais.com/internacional/2023-02-01/heroina-fentanilo-cocaina-y-metanfetamina-canada-despenaliza-la-posesion-de-algunas-drogas-duras.html
663,"A veces la ignorancia de la historia aterra. Los delitos son históricos en su mayoría. Los delitos dependen de la historia de las sociedades. Por ejemplo: Era delito la infidelidad de las mujeres y las mataban por ello. Eso dejó de ser delito en la mayor parte de la humanidad.

Por ejemplo, Miguel, era delito en los EEUU escaparse de la esclavitud. Hasta tenía pena de muerte. Hoy eso no existe en EEUU Nuestras cárceles estan llenas de campesinos cultivadores de canabis y hoja de coca, eso debería dejar se ser delito."
664,"Senadora yo solo use una ley de su presidente favorito con una diferencia, él la uso para negociar con los peores delincuentes en ese momento y yo, para sacar unos jóvenes de las cárceles porque protestaban por las medidas de otro de sus presidentes favoritos"
665,La guerra contra el campesinado no debe continuar. Por eso cambié la estrategia antidrogas. No es fumigando y matando campesinos; es con la captura a los empresarios del narcotráfico y con una eficaz interdicción https://elpais.com/america-colombia/2023-01-30/coca-y-sangre-la-represion-oculta-del-ejercito-colombiano.html
666,"He propuesto un pacto de paz que no solo es con grupos armados, sino con esa sociedad de los privilegios para que permitan las reformas que marquen un camino de mayor justicia social. Esa es la paz. Aun la mano está tendida. Pero no piensen que este gobierno se arrodilla."
667,Cae media tonelada más de Cocaína. La armada nacional jugada con la interdicción como nuestra estrategia fundamental. https://m.eluniversal.com.co/sucesos/operativo-de-pelicula-caen-550-kilos-de-cocaina-que-iban-para-estados-unidos-YA7828346
668,"Las expectativas de paz que hemos generado son negocio tambien para avivatos Nadie puede negociar paz que no sea nuestro comisionado Danilo Rueda. Ni militantes, ni abogados, ni funcionarios, ni familiares mios en cualquier nivel estan facultados para negociar la paz."
669,"La colaboración construida entre autoridades venezolanas, colombianas y francesas empieza a dar resultado en la interdicción de drogas."
670,Me he reunido con la Comisión Interamericana de Derechos Humanos para examinar sus recomendaciones sobre el estallido social del 2020/21 El estado se compromete a reparar las víctimas que dejó con ocasión de la represión que desató contra el movimiento social
671,"La orden que di a la fuerza pública en el último consejo de seguridad es la operación de interdicción más grande realizada en la historia de Colombia, y a la policía dar resultados en la lucha contra el gran contrabando. Veremos los indicadores.

Todos los cuerpos de intelingencia tienen la orden, caiga quien caiga, de encontrar a los grandes empresarios del narcotráfico y el contrabando, que son los mismos."
672,"Muy mal. Induciendo al error. Lo que propone el proyecto es instaurar la justicia restaurativa, es decir, buscar antes que nada, que se restaure a la víctima y lograr la rehabilitación de los presos."
673,Se incautan cuatro toneladas más de cocaína en los mares por nuestra Armada Nacional. https://www.minuto30.com/primer-semisumergible-con-cocaina-del-ano/1401338/?utm_medium=Social&utm_source=Twitter#Echobox=1674614193-1
674,"Maria Fernanda, un gobierno amigo tuyo, respondió a una protesta juvenil con 100 muertos y decenas de ojos destruidos. Con miles de apresados. ¿Donde estaba el asesinato? Permitan la reconciliacion del Estado con la sociedad, no les de amargura la Paz."
675,"La juventud no nació en Colombia para ser encarcelada o morir en una trocha sino que nació para el estudio, el arte la libertad y la vida. Porque la sociedad debe discutir las reformas los invito a acompañarme en la plaza pública este 14 de febrero y el 1 de mayo."
676,Defendemos hacer la paz porque en la guerra solo mueren jóvenes pobres y solo ganan los negociantes de la mafia. Defendemos una Colombia potencia mundial de la Vida Y por tanto no solo estamos dispuestos al dialogo tambien nos movilizamos.
677,"Encuentro con el Sr CHRISTOPHER WRAY, Director Federal Bureau of Investigation FBI. Busco la colaboración del FBI para investigar a los grandes empresarios del narcotráfico y el lavado de activos y a los agentes del más alto nivel de la corrupción."
678,"He conversado con el Fiscal General, él tiene razon en algunos temas, conversaremos personalmente el 30 de enero para evitar discordias institucionales en el camino de la Paz, que es el derecho de la sociedad colombiana."
679,"No se que le pasa al fiscal, pero esto solo hace feliz a la mafia que a través de sus políticos logró recuperar los bienes que consiguió con la cocaína y que les había quitado la justicia. Los jueces inmolados no importaron, la riqueza de la mafia retorna a la mafia."
680,"Hay un enorme error en decir que la paz no esta por encima de la constitución, en realidad la constituciones se hacen para que la sociedades convivan en paz. Las constituciones son tratados de paz decía Norberto Bobbio. El art 22 de nuestra constitución nos ordena hacer la Paz.

Si el art 22 de nuestra constitución dice que la paz es un derecho fundamental, entonces todo servidor público debe guiar su actuación en función de hacer la Paz. Que no nos acostumbremos al discurso de odio y de guerra, eso si es profundamente inconstitucional."
681,Y por qué no establecemos un sistema de calificación en América Latina sobre la reducción de consumo de cocaína en EEUU y en todos los países del continente? La política eficaz consiste en disminuir los consumos. Los consumos crean la oferta.
682,"Córdoba es el departamento que recibe más directamente la violencia del clan del golfo. Los homicidios en Córdoba subieron sustancialmente el año pasado. En lo que va de este año han caído abruptamente por el cese al fuego bilateral que esa organizacion aceptó.

Reducir la violencia y el derecho a la paz no solo obliga mi ejercicio como presidente, sino a todo funcionario público. Casi siempre que se levantan temores contra la paz , es porque se levantan temores a que aparezca la verdad."
683,"Decidimos aumentar los subsidios de vivienda para soldados, infantes de marina profesionales y patrullero(a)s de policía; la base de la fuerza pública, mucho más que a sus oficiales superiores, para alcanzar un mayor cubrimiento de vivienda para las familias de la fuerza pública"
684,"El acuerdo con las Farc no dio paso a una ola mayor de violencia. Fue el incumplimiento de los acuerdos de paz, lo que generó la violencia de los últimos años."
685,Es mi deseo en este final de año que sea posible la paz. Este es un acto audaz. El cese bilateral de fuego obliga a las organizaciones armadas y al estado a respetarlo. Habrá un mecanismo de verificación nacional e internacional. Que la paz sea entre nosotros. Feliz nuevo año.
686,"Hemos acordado un cese bilateral con el ELN, la Segunda Marquetalia, el Estado Mayor Central, las AGC y las Autodefensas de la Sierra Nevada desde el 1 de enero hasta el 30 de junio de 2023, prorrogable según los avances en las negociaciones. La paz total será una realidad."
687,No defraudar a la juventud. https://www.eltiempo.com/opinion/columnistas/alejandro-cheyne
688,Se han capturado por la Armada 4 toneladas más de cocaína que iban en un sumergible en el oceano Pacífico.
689,"El fentanilo es la plaga de los EEUU. Una droga para evadir la realidad y dormir eternamente. Una droga de la gente sin afecto que no espera más que morir Es el drama de la sociedad de la competencia. Es hora de una gran política de salud pública que prevenga esta enfermedad

De la prohibición de la marihuana y la cocaína, que nos dejó un millón de muertos latinoamericanos, EEUU pasó a la plaga del fentanilo que le mata 100.000 ciudadanos por año. En vez de mitigar los daños, se potenciaron.

Por eso creo que en vez de la criminalización hay que pasar fuertemente a la prevención y al tratamiento de la drogadicción como una enfermedad de salud pública."
690,"En este momento tanto el ELN, como la segunda Marquetalia, el Estado Mayor Central, las agrupaciones armadas de la Sierra Nevada y Buenaventura han iniciado una tregua unilateral. Esperamos que se consoliden verdaderos procesos de Paz."
691,Las organizaciones armadas que efectivamente han demostrado su voluntad de distensión de actos violentos deben pasar a la selección de sus voceros para el inicio de negociaciones de paz.
692,"He designado a Alejandra Miller como directora de la Agencia de Reincorporación y Normalización. Ella es economista y magíster en estudios políticos, investigadora, profesora universitaria y líder feminista. El compromiso con el cumplimiento de los acuerdos y la paz es total."
693,"No se gastará un solo peso de la reforma tributaria ni de la inversión social en aviones de combate. Las prioridades de mi gobierno son y serán la reforma agraria, hambre cero, la educación superior gratuita, el bienestar de las madres cabeza de hogar y los jóvenes del país."
694,Incautadas 3 toneladas de cocaína en el puerto de Cartagena en operación conjunta de las Fuerzas Militares y la Policía. La interdicción es hoy la prioridad contra la multinacional del narcotráfico.
695,"Vamos hacia una nueva política para afrontar los cultivos ilícitos desde la perspectiva del territorio y la visión canpesina El Tarra, Catatumbo. Norte de Santander. Asamblea de campesinos cocaleros."
696,Asamblea de camprsinos cocaleros del Catatumbo. Hacia un verdadero plan de salida de la economía ilegal y para una región próspera
697,En la vereda de Muchinque en Cauca conocí a varios jóvenes a los que la violencia les arrebató toda ilusión de un futuro. El programa de inclusión social que anunciamos hoy permitirá que estos jóvenes construyan país desde sus propias comunidades.
698,He hablado con el presidente de Ecuador @LassoGuillermo y hemos acordado activar los mecanismos binacionales para la protección de la frontera y realizar operaciones en conjunto en materia de interdicción que dé como resultado una baja en los índices de violencia.
699,"Lanzamos el programa para la inclusión de la juventud popular, que es la base fundamental de la Paz."
700,"Con el programa "" empleo si hay"" que busca empleo para la juventud"
701,Buscaré el apoyo del presidente del Ecuador para realizar operaciones conjuntas en la frontera colombo ecuatoriana contra las mafias que utilizan la frontera como ruta del narcotráfico.
702,Por primera vez Cali tiene menos de mil homicidios por año. Una de las ciudades más violentas del mundo ha logrado hacer descender sustancialmente su tasa de homicidios. La receta: mucha inclusión juvenil.
703,En Buenaventura. Primer proceso de paz urbano.
704,"Ayer al terminar el Consejo de Seguridad se establecieron medidas para superar la situación social, económica y militar en la cordillera occidental del Cauca."
705,"En el consejo de seguridad de Buenos Aires, Cauca."
706,He convocado un Consejo de Seguridad Extraordinario para revisar la situación de orden público del departamento del Cauca. La paz es el bien supremo de la Nación.
707,Los asesinatos del subintendente José Sánchez y del patrullero Gustavo Bohórquez de la @PoliciaBogota no quedarán impunes. He pedido que se identifique y se judicialice a los responsables.
708,Jóvenes que mueren por quienes aun no entienden que la Paz es el bien supremo de una nación. Paz en sus tumbas.
709,"En el acto en Medellín de reconocimiento y de perdón que el Estado solicitó a las víctimas de las masacres del Aro y la Granja, lloré, pero no fuí el único. Todo el recinto se llenó del dolor, es el dolor del pueblo por una violencia que debe cesar."
710,"La Justicia criminal y la impunidad en el mundo. Colombia en el puesto 119. Una reforma a la justicia debe apuntar a más presupuesto, más fiscales y más jueces y a su mejor preparación. La toma política de la justicia solo lleva a su toma por la criminalidad."
